"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Updates an existing user and validates that the API returns the updated fields and timestamp.","204","testUpdateUserTestWithPOJO","API Suite","2026-05-25","passed","2026-05-25","api.tests.GetUserTest","API Tests","api.tests.GetUserTest","testUpdateUserTestWithPOJO"
"Attempts to retrieve a non‑existent user and verifies that the API returns 404 Not Found.","357","testUserNotFound","API Suite","2026-05-25","passed","2026-05-25","api.tests.GetUserTest","API Tests","api.tests.GetUserTest","testUserNotFound"
"Attempts to update a user with invalid data (empty fields) and verifies that the API returns 200 OK, as ReqRes accepts any payload.","228","testUpdateUserBadRequest","API Suite","2026-05-25","passed","2026-05-25","api.tests.GetUserTest","API Tests","api.tests.GetUserTest","testUpdateUserBadRequest"
"Attempts to delete a non‑existent user and verifies that the API still returns 204 No Content, as ReqRes does not validate missing resources.","373","testDeleteUserNotFound","API Suite","2026-05-25","passed","2026-05-25","api.tests.GetUserTest","API Tests","api.tests.GetUserTest","testDeleteUserNotFound"
"Sends an invalid user creation request with empty fields and verifies that the API still returns 201 Created, since ReqRes does not validate input.","1873","testCreateUserBadRequest","API Suite","2026-05-25","passed","2026-05-25","api.tests.GetUserTest","API Tests","api.tests.GetUserTest","testCreateUserBadRequest"
"Deletes an existing user by ID and verifies that the API returns status code 204 (No Content).","360","testDeleteUser","API Suite","2026-05-25","passed","2026-05-25","api.tests.GetUserTest","API Tests","api.tests.GetUserTest","testDeleteUser"
"Retrieves a user by ID using a POJO response model and validates all returned fields.","366","testGetUserWithPOJO","API Suite","2026-05-25","passed","2026-05-25","api.tests.GetUserTest","API Tests","api.tests.GetUserTest","testGetUserWithPOJO"
"Creates a user and checks that the API returns the correct data.","418","testCreateUserWithPOJO","API Suite","2026-05-25","passed","2026-05-25","api.tests.GetUserTest","API Tests","api.tests.GetUserTest","testCreateUserWithPOJO"
